textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Foster Care Room,15,A0058096306,Gyarados,Cat,Domestic Shorthair,2m 23d,Brown,Hold - Doc,,Recheck in 1 month for neuter,,,Small,,M,,,02,,,,,372
  Foster Care Room,15,A0058248928,MAMA MIA,Cat,Domestic Shorthair,8y 8m 2d,Black,Hold - Bite/Scratch,6/6/2025 12:00 AM,10 DAY CHECK,mama,50.00,Small,,F,White,,07,,,,,372
  Foster Care Room,15,A0058353977,,Cat,Domestic Shorthair,2m 19d,Black,Hold - Surgery,,,,,Small,,F,White,,04,,,,,372
  Foster Care Room,15,A0058353988,,Cat,Domestic Shorthair,2m 19d,Black,Hold - Surgery,,,,,Small,,F,,,04,,,,,372
  Foster Care Room,15,A0058368616,Oscar,Cat,Domestic Shorthair,1y 7m 12d,Grey,Hold - Doc,,WAITING ON ECHO,,,Medium,,M,White,,01,,,,,372
  Foster Care Room,15,A0058441765,Pimm,Cat,Domestic Shorthair,2m 3d,Orange,Hold - Surgery,,,,,Small,,M,,,06,,,,,372
  Foster Care Room,15,A0058441766,Darbie,Cat,Domestic Shorthair,2m 3d,Orange,Hold - Surgery,,,,,Small,,F,,,06,,,,,372
  Foster Care Room,15,A0058441767,Dizzle,Cat,Domestic Shorthair,2m 3d,Brown,Hold - Surgery,,,,,Small,,F,,,06,,,,,372
  Foster Care Room,15,A0058441769,Bibble,Cat,Domestic Shorthair,2m 3d,Brown,Hold - Surgery,,,,,Small,,M,,,06,,,,,372
  Foster Care Room,15,A0058594745,Minnie,Cat,Domestic Shorthair,16y 1m 4d,Brown,Hold - Doc,,Needs UA,,,Small,,F,,,05,,,,,372
  Foster Care Room,15,A0058611962,Bear,Cat,Domestic Shorthair,2m 7d,Black,Hold - Behavior,,,,,Small,,F,,,03,,,,,372
  Foster Care Room,15,A0058611963,Maxie,Cat,Domestic Shorthair,2m 7d,Black,Hold - Behavior,,,,,Small,,F,,,03,,,,,372
  Foster Care Room,15,A0058622641,KIT,Cat,Domestic Shorthair,9y 4d,Blue,Hold - Doc,,Needs combo,,,Small,,F,,,08,,,,,372
  Foster Home,137,A0042479416,KIKI,Cat,Domestic Longhair,9y 9m 23d,Black,In Foster,,SEE MEDICAL MEMO,twix,120.00,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0046861476,Brooklyn,Rabbit,American,,Silver,Permanent Resident,,medically cleared,Lunar,60.00,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0046861487,Broadway,Rabbit,American,,Sable,Permanent Resident,,medically cleared,Morgan,60.00,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0052669181,Alex Wolff,Rodent,CHINCHILLA,,Grey,Permanent Resident,,,,75.00,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0052669183,Ernie,Rodent,CHINCHILLA,,Grey,Permanent Resident,,,Nat Wolff,75.00,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0057957792,Diamond,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 25d,Tan,In Cruelty Foster,,went back into FC,,,Medium,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058047453,,Rabbit,Florida White,,White,In Foster,,IN FOSTER WITH MICHELLE,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058051432,NAJI,Cat,Domestic Shorthair,2m 26d,Brown,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058058096,,Rodent,RAT-DOMESTIC,2m 23d,White,In Foster,,,,,Small,RAT-DOMESTIC,U,,,Foster Home,,,,,372
  Foster Home,137,A0058058107,,Rodent,RAT-DOMESTIC,2m 23d,White,In Foster,,,,,Small,RAT-DOMESTIC,U,,,Foster Home,,,,,372
  Foster Home,137,A0058058111,,Rodent,RAT-DOMESTIC,2m 23d,White,In Foster,,,,,Small,RAT-DOMESTIC,U,,,Foster Home,,,,,372
  Foster Home,137,A0058067136,IRIS,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 2m 15d,Grey,In Foster,,,STACEY,,Medium,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058212975,Bunny 2,Rabbit,Florida White,2m 8d,White,In Foster,,returned from FC,,,Small,Satin,M,,,Foster Home,,,,,372
  Foster Home,137,A0058212978,Bunny 1,Rabbit,Florida White,2m 8d,White,In Foster,,returned from FC,,,Small,Satin,M,,,Foster Home,,,,,372
  Foster Home,137,A0058212981,Bunny 3,Rabbit,Florida White,2m 8d,White,In Foster,,returned from FC,,0.00,Small,Satin,F,,,Foster Home,,,,,372
  Foster Home,137,A0058212985,Bunny 5,Rabbit,Florida White,2m 8d,White,In Foster,,returned from FC,,,Small,Satin,M,,,Foster Home,,,,,372
  Foster Home,137,A0058212987,Bunny 7,Rabbit,Florida White,2m 8d,White,In Foster,,returned from FC,,,Small,Satin,M,,,Foster Home,,,,,372
  Foster Home,137,A0058213029,Rabbit 2,Rabbit,Rex,2m 8d,White,In Foster,,weaned from mom rabbit,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058213031,Rabbit 1,Rabbit,Rex,2m 8d,White,In Foster,,,,0.00,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058213033,Rabbit 4,Rabbit,Rex,2m 8d,White,In Foster,,weaned from mom rabbit,,0.00,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058213035,Rabbit 3,Rabbit,Rex,2m 8d,White,In Foster,,weaned from mom rabbit,,0.00,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058213036,,Rabbit,Rex,2m 8d,Buff,In Foster,,,,0.00,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058227600,PISHU,Cat,Domestic Shorthair,1y 2m 5d,Black,Hold - Bite/Scratch,6/5/2025 9:13 AM,10 DAY CHECK,PISHU,125.00,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058231395,,Cat,Domestic Shorthair,2m 21d,Orange,In Foster,,"med tx, has FP",,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058231399,Rosie,Cat,Domestic Shorthair,2m 21d,Black,In Foster,,"med tx, has FP",,,Small,Mix,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058284280,OKLAHOMA,Dog,"Terrier, American Pit Bull",6m 27d,White,In Foster,,,,,Small,Mix,M,Brown,,Foster Home,,,,,372
  Foster Home,137,A0058301744,Aurora,Cat,Domestic Shorthair,1m 24d,Cream,In Foster,,ok for foster w/ surrogate mom,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058305672,Cypress,Cat,Domestic Shorthair,3y 1m 22d,Brown,In Foster,,,Cry Baby,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058305683,,Cat,Domestic Shorthair,1m 26d,Brown,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058305686,,Cat,Domestic Shorthair,1m 26d,Grey,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058326519,RUBEN,Cat,Domestic Shorthair,2m 18d,Black,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058353042,SASSAFRAS,Rabbit,Rex,,White,In Foster,,NEEDS WEIGHT GAIN,SASSAFRAS,,Small,"Harlequin, Magpie",F,Brown,,Foster Home,,,,,372
  Foster Home,137,A0058353916,,Cat,Domestic Longhair,2m 5d,Grey,In Foster,,ok for foster,,,Small,Mix,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058353961,,Cat,Domestic Shorthair,2m 5d,Black,In Foster,,ok for foster,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058353970,,Cat,Domestic Longhair,2m 5d,Orange,In Foster,,ok for foster,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058360042,Willow,Cat,Domestic Shorthair,2m 11d,Grey,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058360045,Piper,Cat,Domestic Shorthair,2m 11d,Blue,In Foster,,,,,Small,,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058365778,,Cat,Domestic Shorthair,2m 3d,Black,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058373583,Cloud,Cat,Domestic Longhair,2m 23d,White,In Foster,,Too young + sick,,,Small,Mix,F,Grey,,Foster Home,,,,,372
  Foster Home,137,A0058415270,ZOEY,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",4y 1m 5d,Blue,In Foster,,recheck in 2 weeks,SYLVANAS,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415760,,Cat,Domestic Shorthair,1m 13d,Blue,In Foster,,,,,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415771,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415782,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Medium,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058415796,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415801,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415806,,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,,,,Small,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058415827,,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415846,BEAN,Cat,Domestic Shorthair,1y 1m 5d,Black,In Foster,,,,,Medium,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058415858,,Cat,Domestic Shorthair,1m 16d,Grey,In Foster,,,,,Small,,F,Tan,,Foster Home,,,,,372
  Foster Home,137,A0058415873,LIMA,Cat,Domestic Shorthair,11m 5d,Black,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415888,PINTO,Cat,Domestic Shorthair,2y 1m 5d,Black,In Foster,,,,,Medium,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058415896,,Cat,Domestic Shorthair,1m 27d,Black,In Foster,,,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058415899,,Cat,Domestic Shorthair,1m 27d,Black,In Foster,,,,,Small,,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058415904,,Cat,Domestic Shorthair,1m 27d,Black,In Foster,,,,,Small,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058415910,,Cat,Domestic Shorthair,1m 16d,Grey,In Foster,,,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058415913,,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058419285,Scruffles,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",15y 1m 4d,White,In Cruelty Foster,,,,,Small,Mix,F,Grey,,Foster Home,,,,,372
  Foster Home,137,A0058419299,Bingo,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",5y 1m 4d,Tan,In Foster,,Cleared for Dispo. NSA,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058427091,Luca,Cat,Domestic Shorthair,1m 25d,Black,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058433950,HONEY,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,Needs TX,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058433952,PEANUT,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,Needs TX,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058433954,SOCKS,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,Needs TX,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058433959,SUGAR,Cat,Domestic Shorthair,1m 16d,Black,In Foster,,Needs TX,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058443901,ELENA,Cat,Domestic Shorthair,3y 1m 0d,White,In Foster,,MED CLEAR FOR FOSTER,1,,Small,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058444073,,Cat,Domestic Longhair,1m 29d,Black,In Foster,,,13,,Small,Mix,M,Smoke,,Foster Home,,,,,372
  Foster Home,137,A0058444084,,Cat,Domestic Longhair,2m 5d,Orange,In Foster,,MED CLEAR FOR FOSTER,14,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058447679,,Cat,Snowshoe,2m 5d,Cream,In Foster,,MED CLEAR FOR FOSTER,35,,Small,Mix,F,Seal,,Foster Home,,,,,372
  Foster Home,137,A0058450156,,Cat,Domestic Longhair,1y 6m 30d,Brown,In Foster,,Nursing mom,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058450160,,Cat,Domestic Shorthair,1m 0d,Grey,In Foster,,too young/nursing,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058465818,,Cat,Domestic Shorthair,1m 26d,Brown,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058475350,Bella,Dog,"Chihuahua, Short Coat",9y 27d,Tan,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058484847,CHERRY BLOSSOM,Cat,Domestic Shorthair,1y 25d,White,In Foster,,,,,Small,,F,Brown,,Foster Home,,,,,372
  Foster Home,137,A0058488859,,Cat,Domestic Shorthair,2m 24d,Black,In Foster,,needs weight gain,,,Small,,F,Tan,,Foster Home,,,,,372
  Foster Home,137,A0058490594,,Cat,Domestic Longhair,3m 2d,Tan,In Foster,,,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058490600,,Cat,Domestic Longhair,3m 2d,Tan,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058504918,,Cat,Domestic Shorthair,23d,White,In Foster,,,,,Small,,M,Black,,Foster Home,,,,,372
  Foster Home,137,A0058504919,,Cat,Domestic Shorthair,23d,White,In Foster,,,,,Small,,M,Black,,Foster Home,,,,,372
  Foster Home,137,A0058504921,,Cat,Domestic Shorthair,23d,Brown,In Foster,,,,,Small,,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058504922,,Cat,Domestic Shorthair,23d,Black,In Foster,,,,,Small,,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058510291,PENNY,Cat,Domestic Shorthair,1m 19d,Grey,In Foster,,weight gain/monitor eyes,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058514522,BUCKEYE,Cat,Domestic Shorthair,2y 18d,Black,In Foster,,,,,Small,,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058514530,,Cat,Domestic Shorthair,1m 9d,Black,In Foster,,,,,Small,,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058514533,,Cat,Domestic Shorthair,1m 9d,Black,In Foster,,,,,Small,,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058514534,,Cat,Domestic Longhair,1m 9d,Black,In Foster,,,,,Small,,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058514537,,Cat,Domestic Shorthair,1m 9d,Black,In Foster,,,,,Small,,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058516368,,Cat,Domestic Shorthair,1m 19d,Black,In Foster,,clear for foster,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058516375,,Cat,Domestic Shorthair,1m 19d,Black,In Foster,,clear for foster,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058516378,,Cat,Domestic Shorthair,1m 19d,Grey,In Foster,,clear for foster,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058517116,LARRY,Cat,Domestic Shorthair,1m 25d,Brown,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058517121,Lemon,Cat,Domestic Shorthair,1m 25d,Brown,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058517133,MOE,Cat,Domestic Shorthair,1m 25d,Brown,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058517968,KATNISS,Cat,Domestic Shorthair,1m 19d,Brown,In Foster,,Ok for foster w/meds,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058517971,PRIMROSE,Cat,Domestic Shorthair,1m 19d,Grey,In Foster,,Ok for foster w/meds,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058517973,HAYMITCH,Cat,Domestic Shorthair,1m 19d,Brown,In Foster,,Ok for foster w/meds,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058517974,PEETA,Cat,Domestic Shorthair,1m 19d,Grey,In Foster,,Ok for foster w/meds,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058522221,Casper,Cat,Domestic Shorthair,1m 11d,Cream,In Foster,,,,,Small,Mix,M,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058522229,Nonamie,Cat,Domestic Shorthair,1m 11d,Grey,In Foster,,,,,Small,Mix,F,Tan,,Foster Home,,,,,372
  Foster Home,137,A0058523296,TRIXIE,Cat,Domestic Shorthair,1m 11d,Brown,In Foster,,CLEAR FOR FOSTER - ON MEDS,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058540584,,Cat,Domestic Shorthair,1m 22d,Grey,In Foster,,,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058540651,,Cat,Domestic Shorthair,1m 22d,Brown,In Foster,,,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058540675,,Cat,Domestic Shorthair,1m 22d,Brown,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058540683,,Cat,Domestic Shorthair,1m 22d,Brown,In Foster,,,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058540989,JANET,Cat,Domestic Shorthair,29d,White,In Foster,,,,,Small,Mix,F,Brown,,Foster Home,,,,,372
  Foster Home,137,A0058542270,KIKI,Cat,Domestic Shorthair,1m 29d,Black,In Foster,,Needs foster,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058544621,Shadow,Cat,Domestic Shorthair,1m 7d,Black,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058544622,Bear,Cat,Domestic Shorthair,1m 7d,Black,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058545042,Adidas,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",2m 18d,Black,In Foster,,,,,Medium,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058545429,Buzz,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",4m 9d,White,In Foster,,,,,Medium,Mix,M,Brown,,Foster Home,,,,,372
  Foster Home,137,A0058552575,Muffler,Cat,Domestic Shorthair,2m 3d,Brown,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058552576,Carburetor,Cat,Domestic Shorthair,2m 3d,Brown,In Foster,,,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058552578,Catalytic Converter,Cat,Domestic Shorthair,2m 3d,Brown,In Foster,,,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058561031,TULIP,Cat,Domestic Shorthair,1m 12d,Blue,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058561034,ROCO,Cat,Domestic Shorthair,1m 12d,Black,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058568632,CHARLIE,Cat,Domestic Shorthair,2m 9d,Brown,In Foster,,monitoring & weight gain,Charlie,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058569854,,Cat,Domestic Longhair,1m 13d,Grey,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058569856,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058569859,,Cat,Domestic Shorthair,1m 13d,Black,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058569861,,Cat,Domestic Shorthair,1m 13d,Grey,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058571047,,Rodent,GUINEA PIG,4m 13d,Brown,In Foster,,pregnancy watch,,,Small,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058571055,GUAVA,Rodent,GUINEA PIG,,Brown,In Foster,,,,,Small,,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058573503,CHESTNUT,Rodent,GUINEA PIG,13d,Brown,In Foster,,,,,Small,,U,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058587143,,Cat,Domestic Shorthair,1m 14d,Black,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058588153,,Cat,Domestic Shorthair,1m 21d,Brown,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058596371,,Cat,Domestic Shorthair,1m 8d,Black,In Foster,,HOLD LEGAL NOTICE UNTIL 6/4,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058596382,,Cat,Domestic Shorthair,1m 8d,Black,In Foster,,HOLD LEGAL NOTICVE UNTIL 6/4,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058596388,,Cat,Domestic Longhair,1m 8d,Black,In Foster,,HOLD LEGAL NOTICE UNTIL 6/4,,,Small,,M,,,Foster Home,,,,,372
  Foster Home,137,A0058596391,,Cat,Domestic Shorthair,1m 8d,Black,In Foster,,HOLD LEGAL NOTICE UNTIL 6/4,,,Small,,F,,,Foster Home,,,,,372
  Foster Home,137,A0058605268,Pickley,Dog,"Poodle, Standard",4y 7d,Black,In SAFE Foster,,DOC CHECK EYES 6/3,,,Large,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058610572,,Cat,Domestic Shorthair,2m 2d,Tan,In Foster,,,,,Small,Mix,M,White,,Foster Home,,,,,372
  Foster Home,137,A0058610576,,Cat,Domestic Shorthair,2m 2d,Tan,In Foster,,,,,Small,Mix,F,White,,Foster Home,,,,,372
  Foster Home,137,A0058611878,,Cat,Domestic Shorthair,1m 16d,Brown,In Foster,,,,,Small,Mix,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058622374,,Rabbit,Angora,,White,In Foster,,too thin for surgery,MARSHMALLOW FLUFF,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058626959,IVY,Cat,Domestic Shorthair,1m 0d,Brown,In Foster,,CLEAR FOR FOSTER,,,Small,Mix,F,Orange,,Foster Home,,,,,372
  Foster Home,137,A0058627963,,Cat,Domestic Shorthair,17d,Black,In Foster,,Too young,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058627965,,Cat,Domestic Shorthair,24d,Black,In Foster,,Too young,,,Small,Mix,F,,,Foster Home,,,,,372
  Foster Home,137,A0058627969,,Cat,Domestic Shorthair,24d,Black,In Foster,,Too young,,,Small,Mix,M,,,Foster Home,,,,,372
  Foster Home,137,A0058627970,,Cat,Domestic Shorthair,24d,Black,In Foster,,Too young,,,Small,Mix,M,,,Foster Home,,,,,372
  Humane Education Office,6,A0050404927,HANDSOME HENRY,Mammal,Ferret,3y 11m 26d,Sable,Permanent Resident,,per HuEd,,,Medium,,M,,,Humane Ed Office,,,,,372
  Humane Education Office,6,A0051407698,FLAKE,Reptile/Amphibian,"Snake, Corn",,Orange,Permanent Resident,,,,,Small,,M,Golden,,Humane Ed Office,,,,,372
  Humane Education Office,6,A0052747565,Elliot,Reptile/Amphibian,Bearded Dragon,,Brown,Permanent Resident,,Humane Education Perm Resident,,,Small,,M,,,Humane Ed Office,,,,,372
  Humane Education Office,6,A0056143449,HERBIE,Rodent,GUINEA PIG,11m 24d,Brown,Permanent Resident,,MED CLEARED,KENT,,Small,GUINEA PIG,M,White,,Humane Ed Office,,,,,372
  Humane Education Office,6,A0057946635,,Rodent,RAT-DOMESTIC,3m 24d,White,In Foster,,with Humane Ed until sx,,,Small,,M,,,Humane Ed Office,,,,,372
  Humane Education Office,6,A0058058104,,Rodent,RAT-DOMESTIC,2m 23d,White,In Foster,,with Humane Ed until sx,,,Small,RAT-DOMESTIC,M,,,Humane Ed Office,,,,,372
  ICU,12,A0043218333,CEDAR,Cat,Domestic Shorthair,5y 11m 24d,Black,Hold - Doc,,,,120.00,Small,,M,,,07,,,,,372
  ICU,12,A0057711591,Comet,Cat,Domestic Shorthair,13y 4m 9d,Black,Hold - Doc,,waiting on BW results,,50.00,Small,,F,,,05,,,,,372
  ICU,12,A0058096299,Clefairy,Cat,Domestic Shorthair,2m 23d,Brown,Hold - Doc,,,,,Small,,F,White,,02,,,,,372
  ICU,12,A0058096303,Mew,Cat,Domestic Shorthair,2m 23d,Brown,Hold - Bite/Scratch,6/16/2025 4:07 PM,,,,Small,,M,White,,02,,,,,372
  ICU,12,A0058561257,HICKORY,Cat,Domestic Shorthair,1y 6m 14d,Black,Hold - Doc,,FELV PCR PENDING,,,Small,,M,,,04,,,,,372
  ICU,12,A0058564798,Blessed,Cat,Domestic Shorthair,2y 14d,Black,Hold - Adopted!,,CLEAR ITFF MEDICAL,,,Small,,F,White,,08,,,,,372
  ICU,12,A0058636089,,Cat,Domestic Shorthair,10m 2d,Blue,Hold - Stray,6/9/2025 7:59 AM,,,,Small,Mix,F,,,06,,,,,372
  ICU,12,A0058636092,,Cat,Domestic Shorthair,4d,Black,Hold - Doc,,monitoring,,,Small,Mix,F,,,06,,,,,372
  ICU,12,A0058636095,,Cat,Domestic Shorthair,30d,Black,Hold - Doc,,monitoring mom cat,,,Small,Mix,F,,,06,,,,,372
  ICU,12,A0058636096,,Cat,Domestic Shorthair,30d,Black,Hold - Doc,,monitoring mom cat,,,Small,Mix,M,,,06,,,,,372
  ICU,12,A0058636098,,Cat,Domestic Shorthair,30d,Blue,Hold - Doc,,monitoring mom cat,,,Small,Mix,F,,,06,,,,,372
  ICU,12,A0058639310,,Cat,Domestic Shorthair,1y 2d,Black,Hold - Stray,6/9/2025 12:01 AM,,,,Small,Mix,M,,,03,,,,,372
  If The Fur Fits,30,A0041103469,MITTENS,Cat,Domestic Shorthair,10y 4m 9d,Brown,In If the Fur Fits - Medical,6/11/2025 12:00 AM,"med clear itff, needs dental",,50.00,Medium,,F,White,,Medical,,,,,372
  If The Fur Fits,30,A0057230680,Wishbone,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",8y 6m 24d,Black,In If the Fur Fits - Medical,,bmod/itff med- needs dental,,0.00,Large,Mix,M,White,,Medical,,,,,372
  If The Fur Fits,30,A0057782868,GUSTAVO,Cat,Domestic Longhair,6y 2m 27d,Brown,In If the Fur Fits - Medical,6/5/2025 4:57 PM,,"GUSTAVO AKA ""GUS""",0.00,Small,,M,,,Medical,,,,,372
  If The Fur Fits,30,A0057853586,SNORKEL,Cat,Domestic Shorthair,4m 13d,Grey,In If the Fur Fits - Medical,5/21/2025 12:00 AM,,,200.00,Small,,M,,,Medical,,,,,372
