textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Cat Adoption Room H,6,A0058484864,PALMETTO,Cat,Domestic Shorthair,1y 25d,Black,Available,,,,120.00,Small,,F,White,,05,,,,,372
  Cat Adoption Room H,6,A0058579376,ARMANI,Cat,Domestic Shorthair,5y 10d,Grey,Hold - Doc,,RECHECK DENTAL/EYE,,,Small,,M,White,,02,,,,,372
  Cat Adoption Room H,6,A0058594810,CHARLI,Cat,Domestic Longhair,4y 7d,White,Hold - Behavior,,MED CLEAR,,,Small,,F,Orange,,04,,,,,372
  Cat Adoption Room H,6,A0058600883,NIGHT RIDER,Cat,Domestic Shorthair,7y 8d,Black,Hold - Behavior,,OK ITFF - DENTAL,,,Small,,M,,,07,,,,,372
  Cat Behavior Room I,7,A0056691955,Dash,Cat,Domestic Shorthair,11m 3d,Black,Hold - Behavior Mod.,,,,200.00,Small,,M,,,07,,,,,372
  Cat Behavior Room I,7,A0057975287,HEIDI,Cat,Domestic Shorthair,10y 2m 23d,Grey,Available,,,,0.00,Small,,F,Orange,,04,,,,,372
  Cat Behavior Room I,7,A0058089142,NINA,Cat,Domestic Shorthair,5y 1m 0d,Brown,Available - Behind the Scenes,,,,0.00,Small,,F,White,,03,,,,,372
  Cat Behavior Room I,7,A0058289985,LAUREL,Cat,Domestic Shorthair,2y 1m 26d,White,Available,,,,120.00,Small,,F,Grey,,05,,,,,372
  Cat Behavior Room I,7,A0058416939,CURRY,Cat,Domestic Longhair,5y 24d,Brown,Available,,,,120.00,Small,,F,White,,08,,,,,372
  Cat Behavior Room I,7,A0058626908,Black Jennie,Cat,Domestic Shorthair,3y 3d,Black,Unavailable,,POSSIBLE SAFE FOSTER,,,Small,,F,,,02,,,,,372
  Cat Behavior Room I,7,A0058651108,,Cat,Domestic Longhair,12y 1d,Brown,Hold - Legal Notice,6/12/2025 12:01 AM,,,,Small,Mix,U,White,,06,,,,,372
  Cat Isolation 231,7,A0058259159,MOLLY,Cat,Domestic Shorthair,6y 1m 20d,Grey,Hold – SAFE Foster,,,,,Small,,F,White,,Cage 1,,,,,372
  Cat Isolation 231,7,A0058259200,MR. SHEEPERTON,Cat,Domestic Longhair,6y 1m 30d,Grey,Hold – SAFE Foster,,,,,Large,,M,White,,Cage 2,,,,,372
  Cat Isolation 231,7,A0058425052,Cara,Cat,Domestic Shorthair,2m 3d,Black,Hold - Surgery,,,,,Small,,F,,,Cage 4,,,,,372
  Cat Isolation 231,7,A0058425062,Tangerine,Cat,Domestic Shorthair,2m 3d,Black,Hold - Surgery,,Too young,,,Small,,F,Orange,,Cage 4,,,,,372
  Cat Isolation 231,7,A0058425069,Bergamont,Cat,Domestic Shorthair,2m 3d,Brown,Hold - Surgery,,Too young,,,Small,,M,,,Cage 4,,,,,372
  Cat Isolation 231,7,A0058425077,Valencia,Cat,Domestic Shorthair,2m 3d,Brown,Hold - Surgery,,Too young,,,Small,,F,,,Cage 4,,,,,372
  Cat Isolation 231,7,A0058445654,MARIO,Cat,Domestic Shorthair,3y 1m 0d,Black,Hold - Bite/Scratch,6/6/2025 3:25 PM,,,,Medium,,M,,,Cage 6,,,,,372
  Cat Isolation 232,3,A0058442198,,Cat,Domestic Shorthair,2y 30d,Black,Hold - Doc,,panleuk quarantine,,,Small,,F,White,,Cage 2,,,,,372
  Cat Isolation 232,3,A0058457372,,Cat,Domestic Shorthair,30d,Grey,Hold - Doc,,panleuk quarantine,,,Small,,M,White,,Cage 2,,,,,372
  Cat Isolation 232,3,A0058457378,,Cat,Domestic Shorthair,30d,Black,Hold - Doc,,panleuk quarantine,,,Small,,M,White,,Cage 2,,,,,372
  Cat Isolation 234,5,A0058486125,Snowball,Cat,Domestic Longhair,1y 22d,White,Hold - Bite/Scratch,6/9/2025 2:20 PM,10 DAY CHECK,,,Small,,F,,,Cage 5,,,,,372
  Cat Isolation 234,5,A0058581971,TABITHA,Cat,Domestic Shorthair,10y 7m 16d,White,Hold - Doc,,,,,Small,,F,Brown,,Cage 6,,,,,372
